Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     80.30     0.00    40001     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_data_ptr<int>(int*) const
  0.00     80.30     0.00    40001     0.00     0.00  std::vector<int, std::allocator<int> >::data()
  0.00     80.30     0.00    20000     0.00     0.00  lr_predict_proba(double const*, double const*, double, int)
  0.00     80.30     0.00    20000     0.00     0.00  nb_predict_proba(double const*, double const*, double const*, double const*, int)
  0.00     80.30     0.00    20000     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>::_Iter_comp_iter(knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1})
  0.00     80.30     0.00    20000     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> __gnu_cxx::__ops::__iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>(knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1})
  0.00     80.30     0.00    20000     0.00     0.00  void std::__sort_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>&)
  0.00     80.30     0.00    20000     0.00     0.30  void std::__partial_sort<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, int*, int const*, int, int)::{lambda(int, int)#1}>)
  0.00     80.30     0.00    20000     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00     80.30     0.00     5007     0.00     0.61  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00     80.30     0.00     5000     0.00     0.61  void std::fill<double*, double>(double*, double*, double const&)
  0.00     80.30     0.00       27     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     80.30     0.00       27     0.00     0.00  std::allocator<double>::~allocator()
  0.00     80.30     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00     80.30     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00     80.30     0.00       18     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00     80.30     0.00       18     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     80.30     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     80.30     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00     80.30     0.00       15     0.00     0.00  std::allocator<int>::~allocator()
  0.00     80.30     0.00       14     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     80.30     0.00       13     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00     80.30     0.00       13     0.00     0.00  operator new(unsigned long, void*)
  0.00     80.30     0.00       12     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     80.30     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     80.30     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00     80.30     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00     80.30     0.00       10     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00     80.30     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00     80.30     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     80.30     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     80.30     0.00        9     0.00     0.00  std::allocator<double>::allocator()
  0.00     80.30     0.00        9     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00     80.30     0.00        9     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     80.30     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00     80.30     0.00        9     0.00     0.47  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     80.30     0.00        9     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00     80.30     0.00        9     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
