Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00    456.61     0.01  5303320     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&>(__gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&)
  0.00    456.62     0.01   100000     0.00     0.00  void std::__sort_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&)
  0.00    456.62     0.01        1    10.00    15.00  std::vector<int, std::allocator<int> >::vector<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int> const&)
  0.00    456.63     0.01  2100267     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00    456.63     0.01  1050103     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00    456.64     0.01       61     0.08     0.08  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00    456.64     0.01        1     5.00     5.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, int*>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, int*)
  0.00    456.65     0.01        1     5.00     5.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*)
  0.00    456.65     0.00 10200000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00    456.65     0.00  1050109     0.00     0.00  operator new(unsigned long, void*)
